key,zh_Hans,zh_Hant,ja,en
text.last_light_m5.last_light_line_intro_004,这是许老师去年说的话。那天社团的告别广播因为停电中断，她把节目单夹进信封，说等大家准备好，再一起听完。,這是許老師去年說的話。那天社團的告別廣播因為停電中斷，她把節目單夾進信封，說等大家準備好，再一起聽完。,"一年前、許先生がそう言った。あの日は停電で部活の別れの放送が途中で切れ、先生は番組表を封筒に挟み、みんなの準備ができたら一緒に最後まで聞こうと言ったのだ。","That was what Ms. Xu said last year. The club's farewell broadcast had been cut off by a blackout that day, so she slipped the program list into an envelope and said we would listen to the rest once everyone was ready."
text.last_light_m5.last_light_line_intro_005,楼梯间传来轻轻的脚步声。周砚推门走来，把一台旧录音机放在栏杆旁。林晚向左让出位置，两个人终于站进同一片晚霞。,樓梯間傳來輕輕的腳步聲。周硯推門走來，把一台舊錄音機放在欄杆旁。林晚向左讓出位置，兩個人終於站進同一片晚霞。,"階段から足音が近づいてくる。周硯が扉を押して入ってきて、古いテープレコーダーを手すりの脇に置いた。林晚が左へ一歩よけ、二人はようやく同じ夕焼けの中に並んだ。","Soft footsteps came from the stairwell. Zhou Yan pushed the door open and set an old tape recorder down beside the railing. Lin Wan shifted left to make room, and at last the two of them stood in the same patch of evening glow."
text.last_light_m5.last_light_line_intro_006,电池换好了。不过我只检查了开关，没有替你们按播放。这里面的最后一段，应该由想听的人决定什么时候开始。,電池換好了。不過我只檢查了開關，沒有替你們按下播放。這裡面的最後一段，應該由想聽的人決定什麼時候開始。,"電池は入れ替えた。ただ、確かめたのはスイッチだけだ。再生ボタンは君たちの代わりには押していない。この中の最後の部分は、聞きたい人間が始める時を決めるべきだろう。","The batteries are new. But I only checked the switch — I didn't press play for you. The last part in there should be started whenever the person who wants to hear it decides."
text.last_light_m5.last_light_line_intro_007,你还是这么认真。我原本以为，只要找到录音机，把没播完的话放出来，这件事就算完成了。,你還是這麼認真。我原本以為，只要找到錄音機，把沒播完的話放出來，這件事就算完成了。,あなたは相変わらず真面目ね。テープレコーダーさえ見つけて、途中で切れた言葉を流せば、これで終わりだと思っていたの。,"You're still this careful. I thought that as long as we found the recorder and played the words that never finished, the whole thing would be done."
text.last_light_m5.last_light_line_intro_008,完成不是修好一个开关。我们得先知道，那个人现在还愿不愿意让别人听见。你联系过许老师了吗？,完成不是修好一個開關。我們得先知道，那個人現在還願不願意讓別人聽見。你聯絡過許老師了嗎？,終わらせるというのは、スイッチを直すことじゃない。まず確かめるんだ。あの人が今も、誰かに聞かれることを望んでいるのかどうかを。許先生には連絡したのか？,Finishing it isn't the same as fixing a switch. We need to know first whether that person still wants anyone to hear it. Have you contacted Ms. Xu?
text.last_light_m5.last_light_line_intro_009,林晚点亮手机。屏幕上只有一条刚收到的消息：“我记得那段录音。你们可以听，也可以把它留到下次见面。今晚不必替我完成什么。”,林晚點亮手機。螢幕上只有一條剛收到的訊息：「我記得那段錄音。你們可以聽，也可以把它留到下次見面。今晚不必替我完成什麼。」,"林晚がスマホの画面を灯す。そこには届いたばかりの一文だけがあった。「あの録音のことは覚えています。聞いてもいいし、次に会う日まで取っておいてもいい。今夜、私のために何かを終わらせなくていいのです」","Lin Wan lit up her phone. There was just one message on the screen, newly arrived: “I remember that recording. You can listen to it, or save it for the next time we meet. You don't have to finish anything for me tonight.”"
text.last_light_m5.last_light_line_intro_010,（我读了两遍。没有责怪，也没有催促。可正因为没有人催，我才更清楚地听见自己心里那个总说“再等一下”的声音。）,（我讀了兩遍。沒有責怪，也沒有催促。可正因為沒有人催，我才更清楚地聽見自己心裡那個總說「再等一下」的聲音。）,（二度読み返した。責める言葉も、急かす言葉もない。けれど誰も急かさないからこそ、心の中の「もう少し待って」と呟く声が、はっきり聞こえた。）,"(I read it twice. No blame, no urging. And precisely because no one was rushing me, I heard that voice inside me — the one that always says “just a little longer” — more clearly than ever.)"
text.last_light_m5.last_light_line_intro_011,她给了我们选择，我却反而不敢选了。要是录音里只剩一句普通的晚安，我们等这一年，会不会显得很傻？,她給了我們選擇，我卻反而不敢選了。要是錄音裡只剩一句普通的晚安，我們等這一年，會不會顯得很傻？,"彼女は選択肢をくれたのに、私はかえって選べなくなっている。もし録音に残っていたのが、ありふれた「おやすみ」の一言だけだったら。この一年の待ち時間は、ただ間抜けだったということになるのだろうか。","She gave us a choice, and somehow that made me afraid to choose. If all that's left on the tape is an ordinary goodnight, will waiting a whole year make us look foolish?"
text.last_light_m5.last_light_line_intro_012,普通也可以被认真对待。我们等的又不是一个足够精彩的结局，只是当时被打断的一句话。,普通也可以被認真對待。我們等的又不是一個足夠精彩的結局，只是當時被打斷的一句話。,ありふれたものでも、真剣に扱っていい。俺たちが待っていたのは、見事な結末なんかじゃない。あの時、途中で切れてしまった一言だけだ。,Ordinary things can be taken seriously too. What we've been waiting for isn't a spectacular ending — just one sentence that got cut off back then.
text.last_light_m5.last_light_line_intro_013,风从我们之间穿过去，把信封翻了个面。一行铅笔字露出来：“如果你还没准备好告诉别人。”林晚倾身按住翘起的纸角，又慢慢收回手，目光停在那封始终没有寄出的回信上。,風從我們之間穿過去，把信封翻了個面。一行鉛筆字露出來：「如果你還沒準備好告訴別人。」林晚傾身按住翹起的紙角，又慢慢收回手，目光停在那封始終沒有寄出的回信上。,"風が僕たちの間を抜け、封筒が裏返った。鉛筆の一行が覗く。「まだ誰にも話す準備ができていないなら」——林晚は身をかがめてめくれた角を押さえ、それからゆっくり手を引いた。その目は、ついに一度も送られなかった返事の上で止まっている。","The wind passed between us and flipped the envelope over. A single line in pencil showed through: “If you're not ready to tell anyone yet.” Lin Wan leaned in to hold down the curling corner, then slowly drew her hand back, her eyes resting on the reply that had never once been sent."
text.last_light_m5.last_light_line_intro_014,（那幅画答应给朋友看，却一直没寄出去。我把每一次犹豫叫作修改，仿佛只要还在修改，就不必承认自己害怕被看见。）,（那幅畫答應給朋友看，卻一直沒寄出去。我把每一次猶豫叫作修改，彷彿只要還在修改，就不必承認自己害怕被看見。）,（あの絵は友達に見せると約束したのに、ずっと送れずにいる。僕は迷うたびにそれを「手直し」と呼んできた。手直しを続けているうちは、見られるのが怖いと認めずに済むから。）,"(I promised to show that painting to a friend, and still never sent it. I called every hesitation a revision, as if staying in revision meant I never had to admit I was afraid of being seen.)"
text.last_light_m5.last_light_line_intro_015,你一直没说话。是想起什么了吗？如果不方便讲，可以不讲。我们来这里，不是要轮流交出自己的秘密。,你一直沒說話。是想起什麼了嗎？如果不方便講，可以不講。我們來這裡，不是要輪流交出自己的秘密。,"ずっと黙ってるね。何か思い出した？話しにくいなら、話さなくていい。ここに来たのは、順番に秘密を差し出すためじゃないから。","You haven't said anything this whole time. Did something come back to you? If it's hard to talk about, you don't have to. We didn't come up here to take turns handing over our secrets."
text.last_light_m5.last_light_line_intro_016,我们可以安静一会儿。天还没全黑，门也不会立刻锁上。做决定之前的空白，不算浪费时间。,我們可以安靜一會兒。天還沒全黑，門也不會立刻鎖上。做決定之前的空白，不算浪費時間。,少し黙っていてもいい。空はまだ完全には暗くなっていないし、扉もすぐに閉まるわけじゃない。決める前の空白は、無駄な時間なんかじゃない。,"We can be quiet for a while. The sky isn't fully dark yet, and the door won't lock itself right away. The blank space before a decision isn't wasted time."
text.last_light_m5.last_light_line_intro_017,谁都没有继续说话。我把目光从两个人身上移开，望向楼下。街口的灯开始接连亮起，先是一盏，再是一整排店铺。城市照常运转，没有因为某个傍晚停下来，却也没有把谁丢在后面。,誰都沒有繼續說話。我把目光從兩個人身上移開，望向樓下。街口的燈開始接連亮起，先是一盞，再是一整排店鋪。城市照常運轉，沒有因為某個傍晚停下來，卻也沒有把誰丟在後面。,"誰も言葉を続けなかった。僕は二人から視線を外し、階下を見下ろす。辻の灯りが次々とともり、まず一灯、やがて店の列がまるごと光った。街はいつも通りに動いていて、ある夕暮れのために立ち止まりはしない。けれど誰かを置き去りにもしない。","No one said anything more. I looked away from the two of them, down at the street below. The lamps at the intersection were coming on one after another — first a single light, then a whole row of shops. The city kept running as always, never pausing for one particular evening, and yet never leaving anyone behind either."
text.last_light_m5.last_light_line_intro_018,（我第一次试着不替自己辩解。也许那幅画不需要再好一点，只需要一句诚实的话：这是当时的我，画得不够好，但我还记得你。）,（我第一次試著不替自己辯解。也許那幅畫不需要再好一點，只需要一句誠實的話：這是當時的我，畫得不夠好，但我還記得你。）,（自分をかばわないでみたのは、これが初めてだった。あの絵に必要なのは、上手くなることじゃない。正直な一言だけだ。——これはあの頃の僕です。うまくは描けなかったけど、あなたのことは覚えています。）,"(For the first time, I tried not to defend myself. Maybe that painting doesn't need to be any better; it just needs one honest sentence: this is who I was then, I didn't paint it well, but I still remember you.)"
text.last_light_m5.last_light_line_intro_019,片刻后，林晚从栏杆边走回来，将信封在我们面前摊平。周砚把录音机转向我。那颗小小的播放键还没有被按下，我却觉得，自己的决定已经没有刚才那么重了。,片刻後，林晚從欄杆邊走回來，將信封在我們面前攤平。周硯把錄音機轉向我。那顆小小的播放鍵還沒有被按下，我卻覺得，自己的決定已經沒有剛才那麼重了。,"しばらくして、林晚が手すりから戻ってきて、封筒を僕たちの前で平らに広げた。周硯はテープレコーダーを僕のほうへ向ける。小さな再生ボタンはまだ押されていないのに、自分の決断はさっきよりずっと軽くなった気がした。","After a moment, Lin Wan walked back from the railing and smoothed the envelope flat in front of us. Zhou Yan turned the recorder toward me. That small play button still hadn't been pressed, and yet my decision no longer felt as heavy as it had a moment ago."
text.last_light_m5.last_light_line_intro_020,如果现在听，我想把它当作重新开始，而不是证明过去没有白等。如果不听，我也想认真地把信寄出去。,如果現在聽，我想把它當作重新開始，而不是證明過去沒有白等。如果不聽，我也想認真地把信寄出去。,"今聞くなら、それは過去が無駄じゃなかった証じゃなく、やり直すための一歩にしたい。聞かないなら、それはそれで、ちゃんと手紙を送りたい。","If we listen now, I want to treat it as a new start, not as proof that the past wasn't wasted. And if we don't, I still want to send the letter properly."
text.last_light_m5.last_light_line_intro_021,那就选你真正想做的。听完以后仍然可以写信，写完以后也可以再见面。我们选的是今晚先迈出的那一步。,那就選你真正想做的。聽完以後仍然可以寫信，寫完以後也可以再見面。我們選的是今晚先邁出的那一步。,なら、本当にやりたいほうを選べ。聞いたあとでも手紙は書けるし、書き終えたあとでまた会ってもいい。選ぶのは、今夜まず踏み出す一歩だ。,"Then choose what you really want to do. You can still write the letter after listening, and you can still meet again after writing it. What we're choosing is the first step we take tonight."
text.last_light_m5.last_light_line_intro_022,许老师又发来一张照片。照片里的薄荷盆栽歪向窗边，配文是“明天记得浇水”。林晚笑起来，原来认真告别的人，也会忘记照顾自己的植物。,許老師又傳來一張照片。照片裡的薄荷盆栽歪向窗邊，配文是「明天記得澆水」。林晚笑起來，原來認真告別的人，也會忘記照顧自己的植物。,"許先生からまた写真が届いた。鉢のミントが窓辺へ傾いていて、「明日は水やりを忘れずに」と添えてある。林晚が笑った。ちゃんと別れを告げる人でも、自分の植物の世話は忘れるらしい。","Ms. Xu sent another photo. In it, the pot of mint leaned toward the window, captioned “remember to water it tomorrow.” Lin Wan laughed — so even people who say goodbye so carefully forget to take care of their own plants."
text.last_light_m5.last_light_line_intro_023,（我把朋友的聊天窗口打开，又暂时合上。先把眼前这件事做完。不是永远等下去，只是给今晚一个清楚、能够记住的顺序。）,（我把朋友的聊天視窗打開，又暫時關上。先把眼前這件事做完。不是永遠等下去，只是給今晚一個清楚、能夠記住的順序。）,（友達のチャットを開いて、またそっと閉じた。まず目の前のことを片づける。永遠に待つのではなく、今夜に、はっきりと覚えていられる順番を与えるだけ。）,"(I opened my friend's chat window, then closed it again for now. First, finish what's in front of me. Not waiting forever — just giving tonight a clear order I can remember.)"
text.last_light_m5.last_light_line_intro_024,{playerName}，我准备好了。无论你选哪一种，我都留在这里。等最后那盏灯亮起来，我们一起下楼。,{playerName}，我準備好了。無論你選哪一種，我都留在這裡。等最後那盞燈亮起來，我們一起下樓。,{playerName}、私は準備できた。どちらを選んでも、私はここにいる。最後の灯りがともったら、一緒に階下へ降りよう。,"{playerName}, I'm ready. Whichever one you choose, I'll stay right here. When the last lamp comes on, we'll go downstairs together."
text.last_light_m5.last_light_line_intro_025,录音机和信纸并排放在栏杆上。你可以现在播放最后一段录音，也可以先写一封回信，把倾听留到真正见面的那一天。,錄音機和信紙並排放在欄杆上。你可以現在播放最後一段錄音，也可以先寫一封回信，把傾聽留到真正見面的那一天。,"テープレコーダーと便箋が手すりの上に並んでいる。今すぐ最後の録音を再生してもいいし、先に返事を書いて、耳を傾けるのを本当に会える日に取っておいてもいい。","The recorder and the writing paper sit side by side on the railing. You can play the last part of the recording now, or write a reply first and save the listening for the day you meet in person."
text.last_light_m5.last_light_line_common_001,夕阳终于退到楼群后面。天台仍是来时的天台，栏杆上的水已经干了。你们把纸张和电池收好，只留最后一盏门灯照着台阶。,夕陽終於退到樓群後面。天台仍是來時的天台，欄杆上的水已經乾了。你們把紙張和電池收好，只留最後一盞門燈照著階梯。,"夕日がようやく建物の向こうへ沈んだ。屋上は来た時と同じ屋上で、手すりの水滴ももう乾いている。君たちは紙と電池を片づけ、階段を照らす最後の一灯だけを残した。","The sun had finally slipped behind the buildings. The rooftop was the same rooftop we had come up to, and the water on the railing had dried. You packed away the paper and the batteries, leaving only the last entry lamp shining on the steps."
text.last_light_m5.last_light_line_common_002,刚才我一直在想，什么时候才算告别完成。现在又觉得，也许不用给它盖一个章。能把想说的话认真说一次，就已经很好。,剛才我一直在想，什麼時候才算告別完成。現在又覺得，也許不用給它蓋一個章。能把想說的話認真說一次，就已經很好。,さっきまで、いつになったら別れが終わるんだろうと考えていた。でも今は、終わりに判を押す必要なんてない気がする。言いたかったことを一度ちゃんと言えたなら、それでいい。,"I kept wondering when a goodbye counts as finished. Now I think maybe it doesn't need a stamp on it. Saying the things you wanted to say, once, seriously — that's already enough."
text.last_light_m5.last_light_line_common_003,（我看着她。一个傍晚没有改变所有事情，没寄出的画也不会因此变得更漂亮。但我愿意让别人看见它了，这一点是真的。）,（我看著她。一個傍晚沒有改變所有事情，沒寄出的畫也不會因此變得更漂亮。但我願意讓別人看見它了，這一點是真的。）,（彼女を見ていた。一つの夕暮れがすべてを変えるわけじゃないし、送らなかった絵がうまくなるわけでもない。それでも、誰かに見せてもいいと思えた。それだけは本当だ。）,"(I looked at her. One evening doesn't change everything, and the painting I never sent won't become any better because of it. But I am willing to let someone see it now. That part is true.)"
text.last_light_m5.last_light_line_common_004,你听见楼下的车声了吗？刚来的时候我觉得它们好吵。现在倒觉得，这些普通的声音让人放心，世界还在等我们回去。,你聽見樓下的車聲了嗎？剛來的時候我覺得它們好吵。現在倒覺得，這些普通的聲音讓人放心，世界還在等我們回去。,"下の車の音、聞こえる？来たばかりの頃はうるさいと思っていた。今はむしろ、こういう普通の音が安心させる。世界はまだ、僕たちが戻るのを待っているんだ。","Do you hear the cars down below? When we first came up I thought they were so loud. Now they're reassuring, somehow — ordinary sounds, and a world that is still waiting for us to come back."
text.last_light_m5.last_light_line_common_005,周砚提起盒子，走到门边，又转身等你们。林晚把最后一张信纸收进口袋。两个人一左一右，给你留出走向楼梯的空隙。,周硯提起盒子，走到門邊，又轉身等你們。林晚把最後一張信紙收進口袋。兩個人一左一右，給你留出走向樓梯的空隙。,"周硯が箱を持ち上げ、扉のそばまで歩いてから振り返り、君たちを待つ。林晚は最後の便箋をポケットにしまった。二人が左右に分かれ、階段へ向かうための隙間を空けてくれる。","Zhou Yan picked up the box, walked to the door, then turned back to wait for you. Lin Wan tucked the last sheet of writing paper into her pocket. One on each side, they left you a gap to walk through toward the stairs."
text.last_light_m5.last_light_line_common_006,门我来关。先检查一下有没有落东西，尤其是那支一路借来借去的笔。重要的告别，也不能成为丢东西的理由。,門我來關。先檢查一下有沒有落東西，尤其是那支一路借來借去的筆。重要的告別，也不能成為丟東西的理由。,"扉は俺が閉める。まず忘れ物がないか確認しよう。とくに、ずっと貸したり借りたりしていたあのペンを。大事な別れだって、物をなくす理由にはならない。","I'll close the door. First check that nothing's been left behind — especially that pen we kept lending back and forth. An important goodbye isn't an excuse for losing things."
text.last_light_m5.last_light_line_common_007,在我这里。明天还你，不，等一下，现在就还。我们今晚不是刚学会别把每件小事都推到明天吗？,在我這裡。明天還你，不，等一下，現在就還。我們今晚不是剛學會別把每件小事都推到明天嗎？,私が持ってる。明日返す——ううん、待って、今返す。今夜、小さなことまで明日に延ばさないって覚えたばかりじゃない？,"It's with me. I'll give it back tomorrow — no, wait, I'll give it back now. Didn't we just learn tonight not to push every little thing off to tomorrow?"
text.last_light_m5.last_light_line_common_008,三个人笑起来。等待、遗憾、结尾，这些刚才还很沉的词，忽然可以和一支找回来的笔、一段下楼的路放在同一个口袋里。,三個人笑起來。等待、遺憾、結尾，這些剛才還很沉的詞，忽然可以和一支找回來的筆、一段下樓的路放在同一個口袋裡。,"三人で笑った。待つこと、心残り、結末——さっきまで重たかったその言葉たちが、急に、見つかった一本のペンや階下へ降りる道のりと同じポケットに入る。","The three of us laughed. Waiting, regret, endings — words that had felt so heavy a moment ago could suddenly share the same pocket as a found pen and a walk down the stairs."
text.last_light_m5.last_light_line_common_009,（我没有立刻拿出手机确认回复。第一次，沉默没有催促我编出一个坏的答案。我知道消息已经发出，也知道自己仍然可以继续往前走。）,（我沒有立刻拿出手機確認回覆。第一次，沉默沒有催促我編出一個壞的答案。我知道訊息已經發出，也知道自己仍然可以繼續往前走。）,（すぐにスマホを取り出して返事を確かめたりはしなかった。沈黙が、悪い答えをでっち上げるよう急かしてこないのは初めてだ。メッセージはもう送った。それでも僕は、まだ先へ進める。）,"(I didn't take out my phone to check for a reply right away. For the first time, the silence didn't push me to invent a bad answer. I know the message is sent, and I know I can still keep walking forward.)"
text.last_light_m5.last_light_line_common_010,给今晚起个名字吧。以后说起来，不用每次都从那张节目单讲起。,給今晚起個名字吧。以後說起來，不用每次都從那張節目單講起。,今夜に名前をつけよう。これから話すとき、いちいちあの番組表から説明しなくて済むように。,"Let's give tonight a name. That way, when we talk about it later, we won't have to start from that program list every time."
text.last_light_m5.last_light_line_common_011,就叫“最后一盏灯”。不是永远不会熄灭的灯，是有人关好门以后，愿意和你一起往前走的那一盏。,就叫「最後一盞燈」。不是永遠不會熄滅的燈，是有人關好門以後，願意和你一起往前走的那一盞。,「最後の一灯」でいい。永遠に消えない灯じゃない。誰かがちゃんと扉を閉めたあと、一緒に前に進もうとしてくれる、その一灯だ。,"Let's call it “The Last Lamp.” Not a lamp that never goes out, but the one someone leaves after they've shut the door properly — the one that's willing to walk forward with you."
text.last_light_m5.last_light_line_common_012,我们一起念了一遍这个名字。周砚提起盒子，先侧身拉开门；林晚按住被风吹起的纸页，跟着他走下台阶。楼梯间的光照亮两人的影子，又随着脚步一点点退出天台。,我們一起念了一遍這個名字。周硯提起盒子，先側身拉開門；林晚按住被風吹起的紙頁，跟著他走下階梯。樓梯間的光照亮兩人的影子，又隨著腳步一點點退出天台。,"三人でその名前を一度口にした。周硯が箱を持ち上げ、体を横にして扉を開ける。林晚は風にめくられる紙を押さえ、彼のあとを追って階段を降りた。階段室の光が二人の影を照らし、足音とともに少しずつ屋上から遠ざかっていく。","We said the name once, together. Zhou Yan picked up the box and turned sideways to pull the door open; Lin Wan held down the pages the wind was lifting and followed him down the steps. The light in the stairwell lit their two shadows, then withdrew from the rooftop bit by bit with their footsteps."
text.last_light_m5.last_light_line_common_013,（下一次见面时，我也许还会紧张，话也未必说得更漂亮。但我不必把自己变成另一个人，才有资格按下播放，或者寄出一封信。）,（下一次見面時，我也許還會緊張，話也未必說得更漂亮。但我不必把自己變成另一個人，才有資格按下播放，或者寄出一封信。）,"（次に会うときも、たぶん緊張するし、うまいことも言えないだろう。それでも、再生ボタンを押すためや、手紙を出すために、別人になる必要なんてない。）","(The next time we meet, I'll probably still be nervous, and I may not say anything any better. But I don't have to turn into someone else to earn the right to press play, or to send a letter.)"
text.last_light_m5.last_light_line_common_014,门轻轻合上。空下来的天台只剩晚风，窗灯倒映在水迹里。今晚的故事在这里停下，明天的那一页，仍留着可以继续书写的位置。,門輕輕合上。空下來的天台只剩晚風，窗燈倒映在水跡裡。今晚的故事在這裡停下，明天的那一頁，仍留著可以繼續書寫的位置。,扉がそっと閉まる。空になった屋上には夕風だけが残り、窓の灯りが水たまりに映っている。今夜の物語はここで止まる。明日のページには、まだ書き続けられる余白が残されている。,"The door closed softly. On the emptied rooftop there was only the evening wind, and window lights reflected in the traces of water. Tonight's story stops here; tomorrow's page still has room left to be written on."
text.last_light_m5.last_light_line_letter_001,那我们先写信。等下次见到她，再当面问一句：现在可以一起听吗？我不想把这次暂缓，写成又一次没有下文。,那我們先寫信。等下次見到她，再當面問一句：現在可以一起聽嗎？我不想把這次暫緩，寫成又一次沒有下文。,"じゃあ、先に手紙を書こう。次に彼女に会ったとき、直接聞けばいい。「今、一緒に聞いてもいいですか」って。今回の保留を、またしても続きのない話にはしたくない。","Then let's write the letter first. Next time we see her, we can ask her face to face: can we listen together now? I don't want this pause to turn into one more thing that goes nowhere."
text.last_light_m5.last_light_line_letter_002,周砚关掉录音机，将它放回盒子里。林晚侧身让出位置，他抱着盒子绕到左边；她沿着矮墙走到右侧，把纸铺平。两人换了个位置，为我留出中间那一小块可以落笔的地方。,周硯關掉錄音機，將它放回盒子裡。林晚側身讓出位置，他抱著盒子繞到左邊；她沿著矮牆走到右側，把紙鋪平。兩人換了個位置，為我留出中間那一小塊可以落筆的地方。,"周硯がテープレコーダーを止め、箱に戻す。林晚が体を引いて場所を空けると、彼は箱を抱えて左へ回り、彼女は低い壁沿いに右へ移って紙を広げた。二人は位置を入れ替わり、僕のために筆を下ろせる小さな一区画を空けてくれた。","Zhou Yan switched off the recorder and put it back in its box. Lin Wan stepped aside to make room; he carried the box around to the left, and she walked along the low wall to the right and smoothed the paper flat. The two of them traded places, leaving me that small patch in the middle to write on."
text.last_light_m5.last_light_line_letter_003,别写“等我们全部准备好”。那句话太大了。我建议写一个确切的日子，再给对方一个可以拒绝或改期的余地。,別寫「等我們全部準備好」。那句話太大了。我建議寫一個確切的日子，再給對方一個可以拒絕或改期的餘地。,「全部準備ができたら」とは書くな。あの言葉は大きすぎる。具体的な日付を書いて、相手が断ったり延期したりできる余地を残すのがいい。,"Don't write “once we're all ready.” That sentence is too big. I'd suggest naming a specific day, and leaving the other person room to decline or reschedule."
text.last_light_m5.last_light_line_letter_004,（我握着笔，先写了“对不起”，又停住。也许这封信不需要从道歉开始。我们可以先告诉她，信已经被看见，人也都平安。）,（我握著筆，先寫了「對不起」，又停住。也許這封信不需要從道歉開始。我們可以先告訴她，信已經被看見，人也都平安。）,"（ペンを握り、「ごめんなさい」と書きかけて、手を止めた。この手紙は、謝罪から始めなくてもいいのかもしれない。まず伝えられることがある。手紙はちゃんと見つかった、みんな無事だと。）","(I held the pen, wrote “I'm sorry,” and stopped. Maybe this letter doesn't have to begin with an apology. We can tell her first that the letter has been found, and that all of us are safe.)"
text.last_light_m5.last_light_line_letter_005,你写：“许老师，今天我们在天台找到了最后一张节目单。雨停了，旧楼的灯很好看。我们想邀请您下周六回来坐一会儿。”,你寫：「許老師，今天我們在天台找到了最後一張節目單。雨停了，舊樓的燈很好看。我們想邀請您下週六回來坐一會兒。」,"君はこう書く。「許先生、今日、僕たちは屋上で最後の番組表を見つけました。雨は上がり、古い校舎の灯りがきれいです。よかったら、来週の土曜に少しだけ戻っていらっしゃいませんか」","You write: “Ms. Xu, today we found the last program list on the rooftop. The rain has stopped, and the lights on the old building look beautiful. We'd like to invite you back next Saturday to sit with us for a while.”"
text.last_light_m5.last_light_line_letter_006,后面再加一句，如果不方便，回一张薄荷的照片也可以。她看到肯定会笑，说我们终于学会给活动留备用方案了。,後面再加一句，如果不方便，回一張薄荷的照片也可以。她看到肯定會笑，說我們終於學會給活動留備用方案了。,"そのあとに一文足そう。都合が悪ければ、ミントの写真を一枚返してくれるだけでもいい、と。きっと彼女は笑うはずだ。「やっと行事に代替案を用意することを覚えたね」って。","Add one more line after that — if it's inconvenient, a photo of the mint will do. She'll definitely laugh when she reads it and say we've finally learned to keep a backup plan for an event."
text.last_light_m5.last_light_line_letter_007,也写清楚，不用带新的节目稿。我们不是请她补交一份作业，只是想见面。,也寫清楚，不用帶新的節目稿。我們不是請她補交一份作業，只是想見面。,はっきり書いておけ。新しい台本は要らない、と。宿題を出し直してもらうんじゃない。ただ会いたいだけだ。,"Write it clearly, too: no need to bring a new script. We're not asking her to hand in a late assignment — we just want to see her."
